sort_id,name,player_id,url,pos,draft_round,draft_overall,draft_year,college,agent
825,"marqui christian",19121,"https://www.spotrac.com/nfl/arizona-cardinals/marqui-christian-19121/","Safety",5,167,2016,"Midwestern State",""
824,"martin wallace",12723,"https://www.spotrac.com/nfl/arizona-cardinals/martin-wallace-12723/","Left Tackle",0,0,2013,"Temple","ProStar Sports Agency"
823,"mike gillislee",12446,"https://www.spotrac.com/nfl/arizona-cardinals/mike-gillislee-12446/","Running Back",5,164,2013,"Florida","Michael Bauer (Sports Advisors, Inc.)"
822,"obum gwacham",16935,"https://www.spotrac.com/nfl/arizona-cardinals/obum-gwacham-16935/","Defensive End",6,209,2015,"Oregon State","Exclusive Sports Group"
821,"patrick peterson",7720,"https://www.spotrac.com/nfl/arizona-cardinals/patrick-peterson-7720/","Cornerback",1,5,2011,"Louisiana State","Joel Segal (Lagardere Unlimited)"
820,"phil dawson",1445,"https://www.spotrac.com/nfl/arizona-cardinals/phil-dawson-1445/","Kicker",0,0,1998,"Texas",""
819,"ronald zamort",19684,"https://www.spotrac.com/nfl/arizona-cardinals/ronald-zamort-19684/","Cornerback",0,0,2016,"Western Michigan",""
818,"scooby wright",19204,"https://www.spotrac.com/nfl/arizona-cardinals/scooby-wright-19204/","Inside Linebacker",7,250,2016,"Arizona","CSE"
817,"tyvon branch",3859,"https://www.spotrac.com/nfl/arizona-cardinals/tyvon-branch-3859/","Strong Safety",4,100,2008,"Connecticut","Exclusive Sports Group"
816,"ben garland",7610,"https://www.spotrac.com/nfl/atlanta-falcons/ben-garland-7610/","Guard",0,0,2010,"Air Force",""
815,"damontae kazee",21891,"https://www.spotrac.com/nfl/atlanta-falcons/damontae-kazee-21891/","Safety",5,149,2017,"San Diego State","Ron Butler (Galaxy Sports)"
814,"desmond trufant",12302,"https://www.spotrac.com/nfl/atlanta-falcons/desmond-trufant-12302/","Cornerback",1,22,2013,"Washington","Wasserman Media Group"
813,"devonta freeman",14514,"https://www.spotrac.com/nfl/atlanta-falcons/devonta-freeman-14514/","Running Back",4,103,2014,"Florida State","Kristin Campbell (40 Sports Entertainment Group)"
812,"duke riley",21817,"https://www.spotrac.com/nfl/atlanta-falcons/duke-riley-21817/","Outside Linebacker",3,75,2017,"Louisiana State","Young Money APAA Sports"
811,"harry douglas",3972,"https://www.spotrac.com/nfl/atlanta-falcons/harry-douglas-3972/","Wide Receiver",3,84,2008,"Louisville",""
810,"joe hawley",6625,"https://www.spotrac.com/nfl/atlanta-falcons/joe-hawley-6625/","Center",4,117,2010,"Nevada-Las Vegas",""
809,"joe vellano",13184,"https://www.spotrac.com/nfl/atlanta-falcons/joe-vellano-13184/","Defensive Tackle",0,0,2013,"Maryland",""
808,"julio jones",7721,"https://www.spotrac.com/nfl/atlanta-falcons/julio-jones-7721/","Wide Receiver",1,6,2011,"Alabama","CAA Sports"
807,"justin durant",4134,"https://www.spotrac.com/nfl/atlanta-falcons/justin-durant-4134/","Outside Linebacker",2,48,2007,"Hampton",""
806,"justin hardy",16833,"https://www.spotrac.com/nfl/atlanta-falcons/justin-hardy-16833/","Wide Receiver",4,107,2015,"East Carolina","Michael Celli (Aggressive Sports Inc)"
805,"matt schaub",3835,"https://www.spotrac.com/nfl/atlanta-falcons/matt-schaub-3835/","Quarterback",3,90,2004,"Virginia",""
804,"nathan stupar",10051,"https://www.spotrac.com/nfl/atlanta-falcons/nathan-stupar-10051/","Outside Linebacker",7,230,2012,"Penn State",""
803,"shane wynn",17179,"https://www.spotrac.com/nfl/atlanta-falcons/shane-wynn-17179/","Wide Receiver",0,0,2015,"Indiana",""
802,"sharrod neasman",19350,"https://www.spotrac.com/nfl/atlanta-falcons/sharrod-neasman-19350/","Safety",0,0,2016,"Florida Atlantic","Christina Phillips (Precision Sports MG)"
